camp_name,agency,governorate,district,coordinates_latitude,coordinates_longitude,site_typology,priorityneeds/urgent,background/ownerofthesite,background/date_first_occupied,background/recentinflux,background/totalpopulationfirstarrived,background/reasonfordisplacement,background/sitemanagement,background/awareofhumanitarianorganizationonsite,hh/total_families,hh/total_population,ind_ages/ind_age_groups/males_0_4,ind_ages/ind_age_groups/females_0_4,ind_ages/ind_age_groups/males_5_17,ind_ages/ind_age_groups/females_5_17,ind_ages/ind_age_groups/males_18_59,ind_ages/ind_age_groups/females_18_59,ind_ages/ind_age_groups/males_60_over,ind_ages/ind_age_groups/females_60_over,vulnerabilities_groups/F_HoH,vulnerabilities_groups/Child_HoH,vulnerabilities_groups/unaccompanied,vulnerabilities_groups/ppl_physical_dis,vulnerabilities_groups/ppl_mental_dis,vulnerabilities_groups/ppl_chronic_disease,vulnerabilities_groups/preg_or_lac,vulnerabilities_groups/elderly_at_risk,vulnerabilities_groups/widow,shelter_type/tent,shelter_type/makeshift_improvised,shelter_type/singlefamily,shelter_type/multiplefamily,shelter_type/prefab,shelter_type/school,shelter_type/religiousbuilding,shelter_type/privatebuilding,shelter_type/publicbuilding,shelter_type/militaryspace,shelter_type/others,,protection/fallinghazardsinthesite,protection/riskofunexplodedmines,protection/opentoelements,protection/damagetoprimarybuilding,protection/otherbasicneeds,protection/anyincidents,protection/securitystafforpoliceofficersstationed,protection/tensionbetweenresidentsandhostcommunity,protection/threatsofeviction,protection/sufficientandreliableaccesstofood,Which of the following statements describes best the access to electricity at the site?,wash,wash/functionallatrines,wash/functionalshowers,wash/solidwastevisible,nfi/blankets,nfi/mattress,nfi/jerrycan,nfi/kerosene,nfi/kitchen,nfi/hygienekits,nfi/femalehyginekits,nfi/tarpaulin,nfi/solarlatrines,nfi/electricityaccess,nfi/others,health/functionalclinic,health/clinicemergencyservices,health/clinicprenatalservices,health/clinicdispensemedication,health/functionalhospital,health/hospitalemergencyservices,health/hospitlapediatricservices,health/hospitalprenatalservices,health/hospitaldipensemedication,education/primaryschool,education/primaryschooldistance,education/primarysufficientteachers,education/secondaryschool,educaton/secondschooldistance,education/secondarysufficientteachers,assistance/recent,Do you know their name?,Please add any additional comments based on observations or additional information provided by the key informant that would be useful for CCCM actors to know.,_id,_uuid,_submission_time,_validation_status,_index
Showrao,Blumont,Kirkuk,Kirkuk,35.52265356,44.38270537,Small Settlements (less than 5 HH),None,Privately own or rented,2014-01-09,No,,ISIS,Private,No,56,56,4,7,8,10,8,11,4,4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,None,No presence,No,None,There is no damage to primary building,They are not in need.,No,No,No,No,Yes,All needs are met,All needs are met,2,3,No,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,None,Available and sufficient,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,2,Yes,None,,They don't require any humanitarian help!,7897658,ac1f710e-b406-4de3-84f6-9e332e2c6c1c,2019-11-28T11:32:02,,11
Showrao - sector 3,Blumont,Kirkuk,Kirkuk,35.53510575,44.391799,Small Settlements (less than 5 HH),No other necessities are needed!,Privately owned,2014-03-04,No,,ISIS,None,No,20,20,2,3,3,3,2,3,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,None,No presence,No,None,There is no damage to primary building,They don't need any Humanitarian help whatsoever,No,No,No,No,Yes,All needs are met,All needs are met,2,2,No,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,None,Available and sufficient,No,,,,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,1,Yes,None,,They don't need any humanitarian help,7897665,b691e64b-0da9-4c6c-bdef-fcc497aaad5e,2019-11-28T11:32:04,,12
Sector 1,Blumont,Kirkuk,Kirkuk,35.47163007,44.36882905,Self settled camp,"Rent money
Gas
Less security interrogations from authority.
Food",Privately owned ,2014-11-28,No,,ISIS,Private,No,80,80,2,4,10,14,13,17,10,10,2,0,0,0,0,0,0,0,2,0,0,75,5,0,0,0,0,0,0,0,N/A,Some presence,No,Less than half,There is slight damage to primary building,"WASH, Cash, Livelihood and Healthcare sites",No,No,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,electrical points near water sources Poor wiring low and uncovered electrical points,Not available or not sufficient,Yes,No,Yes,Yes,No,,,,,Yes,1,No,Yes,1,No,NFI Cartons ,,"Rent Money, NFI and Food supplies are needed.",7898684,a30221b0-dbb2-4a25-ba63-ee81a164df5b,2019-11-28T11:47:25,,13
50 Ali,Blumont,Kirkuk,Kirkuk,35.41811252,44.42777617,Self settled camp,"Food 
Wash 
Kerosene
Livelihood",NA,2015-01-15,No,,ISIS,Private,No,200,1470,185,270,230,270,190,230,40,55,10,0,0,1,2,5,150,0,30,0,0,18,20,0,0,0,0,0,0,0,0,No presence,No,Everyone,There is moderate damage to primary building,Kerosene,No,No,No,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site Poor wiring low and uncovered electrical points,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,,,No,,,NA,,NA,7900390,b172aed5-e28c-428c-88eb-fb05d2e25446,2019-11-28T12:25:27,,14
50 Ali apartments,Blumont,Kirkuk,Kirkuk,35.40879027,44.42984882,Collective Center,"Cash
Food 
Kerosene
Livelihood",NA,2015-01-15,Yes,<25%,ISIS & Security Situation,Government,No,310,1860,260,310,230,275,280,315,80,110,70,0,0,6,2,20,300,0,18,0,0,0,310,280,0,0,0,0,0,0,0,Some presence,No,Everyone,There is moderate damage to primary building,"Food
WASH",No,Yes,No,No,Yes,Less than half of the people are facing shortages,Half or more than half of the people are facing shortages,2,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,electrical points near water sources low and uncovered electrical points,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,Food & WASH,,NA,7900391,763422bb-42f7-451b-bb63-08b7c5bf7b05,2019-11-28T12:25:28,,15
Hay Al-Qadsya 2,Blumont,Kirkuk,Kirkuk,35.42150177,44.41939147,Self settled camp,"Cash 
Food
Wash 
Livelihood",NA,2014-10-10,Yes,<25%,Security situation,Private,No,1000,5000,600,750,680,800,840,950,150,230,75,0,0,10,5,25,300,0,55,0,0,466,544,0,0,0,0,0,0,0,0,Some presence,No,Half of more,There is moderate damage to primary building,"Food
Cash",No,Yes,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site electrical points near water sources,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,No,Yes,2,No,NA,,NA,7900392,df02076d-d4f8-414b-a91f-6603461d7095,2019-11-28T12:25:29,,16
Hay Al-Askary 1,Blumont,Kirkuk,Kirkuk,35.40522187,44.4098653,Self settled camp,"Wash
Livehood
Cash
Kerosen",NA,2014-09-01,Yes,<25%,ISIS,Private,No,15,90,7,10,8,11,20,26,3,5,2,0,0,0,1,0,0,0,6,0,0,15,0,0,0,0,0,0,0,0,NA,Some presence,No,Half of more,There is slight damage to primary building,"Food 
Kerosene",No,No,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site,Not available or not sufficient,Yes,No,No,Yes,No,,,,,Yes,1,No,No,,No,Food,,NA,7900393,7d4df02a-98dc-4342-8179-8f68a24c3b98,2019-11-28T12:25:30,,17
Hay Al-Askary 2 Zaraa,Blumont,Kirkuk,Kirkuk,35.39817536,44.41521585,Self settled camp,"Cash 
Food
Livelihood
Kerosen",NA,2014-10-09,Yes,more than 75%,ISIS,Private,No,400,2400,380,500,300,480,280,390,25,45,20,0,0,2,5,10,125,0,30,0,0,366,34,0,0,0,0,0,0,0,NA,Extensive presence,No,Half of more,There is moderate damage to primary building,,No,No,No,No,Yes,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site,No other basic needs mentioned,Yes,No,No,Yes,No,,,,,No,,,Yes,1,,NA,,NA,7900394,bab90b3e-a998-4e77-85c9-e975084bbb3e,2019-11-28T12:25:31,,18
Hay Al-Hurrya 2,Blumont,Kirkuk,Kirkuk,35.43948588,44.41445004,Self settled camp,"Food 
Kerosen 
Food
Wash",NA,2014-10-01,Yes,<25%,ISIS,Private,No,130,780,90,125,85,110,120,160,30,60,20,0,0,1,1,0,20,0,10,0,0,100,30,0,0,0,0,0,0,0,NA,No presence,No,Less than half,There is moderate damage to primary building,Food,No,Yes,No,No,Yes,Shortages in are affecting everyone,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,No electricity in whole site electrical points near water sources,Not available or not sufficient,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,1,Yes,NA,,NA,7900395,2d270856-8d58-49ea-ae5a-bd30fb02f64a,2019-11-28T12:25:32,,19
Hey Al-Hurya 1,Blumont,Kirkuk,Kirkuk,35.4325142,44.4182754,Self settled camp,"Food
Kerosene
Livelihood
Primary Health Care",NA,2015-01-06,Yes,<25%,ISIS,Private,No,349,2094,310,390,200,300,310,450,50,84,50,0,0,5,3,35,150,0,25,0,0,300,49,0,0,0,0,0,0,,,Some presence,No,Everyone,There is moderate damage to primary building,"Kerosene
Food",No,Yes,No,No,Yes,Less than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,No,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits,Not available or not sufficient,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,No,NA,,,7900506,5f7a2142-02e5-40c6-84bd-fcc0759ee0a2,2019-11-28T12:27:54,,20
Al _Failaq,Blumont,Kirkuk,Kirkuk,35.47488186,44.36512412,Self settled camp,"Cash
Fresh Water
Education 
Electricity",N/A,2014-02-25,No,,ISIS,Private,No,219,1314,200,350,150,200,150,180,41,43,40,0,0,41,6,19,17,3,75,0,0,190,9,0,0,0,0,9,11,0,0,Not known,No,Half of more,There is moderate damage to primary building,"Cash
Winterization 
We need 
kerosene",No,Yes,Yes,No,No,Half or more than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring overloaded circuits electrical points near water sources low and uncovered electrical points,Not available or not sufficient,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1,No,Yes,1,Yes,N/A,,N/A,7906380,a7d72de9-f6b8-4704-bee8-608dc9b45b43,2019-11-28T16:38:41,,21
Al /Al_Faylaq,Blumont,Kirkuk,Kirkuk,35.47176609,44.36882804,Self settled camp,"Food
Shelter
NFI
Cash",N/A,2016-05-16,No,,ISIS,Private,No,120,720,100,50,70,150,100,125,75,50,22,0,0,13,3,0,11,0,8,0,0,70,52,0,0,0,0,0,6,0,0,Some presence,No,Half of more,There is moderate damage to primary building,"Cash
Livelyhood 
Basic Services
NFI",No,Yes,Yes,No,Yes,Shortages in are affecting everyone,Shortages in are affecting everyone,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,low and uncovered electrical points Poor wiring,Not available or not sufficient,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,1,Yes,N/A,,N/A,7906381,21c9cbca-bed3-49d9-ac03-21dd1d793ebd,2019-11-28T16:38:42,,22
Shoraw,Blumont,Kirkuk,Kirkuk,35.52892153,44.38733094,Self settled camp,"Vocational training
Traning Sessions
Job oppertunities",Privtly owned,2014-04-15,No,,ISIS,Private,No,20,120,15,30,15,15,20,10,8,7,8,0,0,0,0,0,4,0,1,0,0,20,0,0,0,0,0,0,0,0,,No presence,No,None,There is no damage to primary building,N/A,No,Yes,No,No,Yes,All needs are met,All needs are met,1,1,No,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,None,Available and sufficient,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,1,Yes,N/A,,N/A,7906382,af0dd7cb-8686-44f4-89a4-850f54675e47,2019-11-28T16:38:42,,23
Rahim Awa,Blumont,Kirkuk,Kirkuk,35.49666416,44.39462129,Self settled camp,"WASH
Livelyhood
Basic Services
Job oppertunities",Privately Owned,2016-06-20,No,,ISIS,Private,No,15,90,6,11,13,9,21,15,6,9,2,0,0,3,0,0,0,0,2,0,0,15,0,0,0,0,0,0,0,0,0,Some presence,No,Less than half,There is moderate damage to primary building,N/A,No,Yes,No,No,Yes,Less than half of the people are facing shortages,Half or more than half of the people are facing shortages,1,1,Yes,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,Not available or not sufficient,Not available or not sufficient,Poor wiring low and uncovered electrical points overloaded circuits,Not available or not sufficient,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,2,Yes,Yes,2,Yes,N/A,,N/A,7906383,6d045e0a-e06e-4389-98e3-60a381bcc6d2,2019-11-28T16:38:43,,24
Sekanyan,Blumont,Kirkuk,Kirkuk,35.55399832,44.35820131,Self settled camp,"Livelihood
Cash
Job oppertunities
Traning Sessions",Privatly Owned,2015-07-06,No,,ISIS,Private,No,35,140,8,13,19,22,30,27,13,8,7,0,0,2,0,0,0,0,7,0,0,35,0,0,0,0,0,0,0,0,0,Some presence,No,Less than half,There is slight damage to primary building,N/A,No,Yes,No,No,Yes,Less than half of the people are facing shortages,Less than half of the people are facing shortages,1,1,No,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Available and sufficient,Not available or not sufficient,None,Available and sufficient,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,Yes,Yes,1,Yes,N/A,,N/A,7906384,e6ec11c1-f95a-4c38-8f32-945196cea759,2019-11-28T16:38:44,,25
